date,open,high,low,close,volume
2021-09-24,298.23,299.8,296.93,299.35,14999000
2021-09-27,296.14,296.47,292.94,294.17,23571742
2021-09-28,289.8,290.78,282.75,283.52,43186237
2021-09-29,285.1,286.77,283.01,284.0,26353700
2021-09-30,285.71,287.83,281.62,281.92,32343635
2021-10-01,282.12,289.98,281.29,289.1,30086300
2021-10-04,287.4,287.75,280.25,283.11,31350747
2021-10-05,284.05,290.4,284.05,288.76,24993024
2021-10-06,285.78,293.63,285.51,293.11,28002600
2021-10-07,295.18,296.64,293.92,294.85,20430500
2021-10-08,296.22,296.64,293.76,294.85,17685700
2021-10-11,292.92,297.97,292.75,294.23,19298634
2021-10-12,295.34,295.44,292.35,292.88,17974143
2021-10-13,294.91,297.28,293.49,296.31,23424025
2021-10-14,299.21,303.27,297.83,302.75,27262902
2021-10-15,302.34,304.45,300.52,304.21,25384803
2021-10-18,303.57,308.21,302.69,307.29,22729300
2021-10-19,308.35,309.3,307.22,308.23,17682139
2021-10-20,309.21,309.7,306.11,307.41,16537100
2021-10-21,307.17,311.02,306.36,310.76,16918100
2021-10-22,310.4,311.09,307.8,309.16,17449332
2021-10-25,309.36,309.4,306.46,308.13,17554500
2021-10-26,311.0,312.4,308.6,310.11,28107349
2021-10-27,316.0,326.1,316.0,323.17,52588700
2021-10-28,324.33,324.87,321.36,324.35,26297943
2021-10-29,324.13,332.0,323.9,331.62,34766000
2021-11-01,331.36,331.49,326.37,329.37,27073200
2021-11-02,330.31,333.45,330.0,333.13,26487109
2021-11-03,333.9,334.9,330.65,334.0,21500100
2021-11-04,332.89,336.54,329.51,336.44,23992202
2021-11-05,338.51,338.79,334.42,336.06,22570100
2021-11-08,337.3,337.65,334.44,336.99,20897001
2021-11-09,337.11,338.72,334.53,335.95,21307400
2021-11-10,334.57,334.63,329.92,330.8,25500938
2021-11-11,331.25,333.77,330.51,332.43,16849844
2021-11-12,333.92,337.23,333.79,336.72,23831049
2021-11-15,337.54,337.88,334.03,336.07,16723009
2021-11-16,335.68,340.67,335.51,339.51,20886832
2021-11-17,338.94,342.19,338.0,339.12,19053400
2021-11-18,338.18,342.45,337.12,341.27,22463533
2021-11-19,342.64,345.1,342.2,343.11,21963403
2021-11-22,344.62,349.67,339.55,339.83,31031113
2021-11-23,337.05,339.45,333.56,337.68,30427600
2021-11-24,336.28,338.16,333.91,337.91,21661307
2021-11-26,334.35,337.93,328.12,329.68,24217242
2021-11-29,334.94,339.03,334.74,336.63,28563500
2021-11-30,335.32,337.78,328.99,330.59,42885609
2021-12-01,335.13,339.28,329.39,330.08,33401146
2021-12-02,330.3,333.49,327.8,329.49,30766000
2021-12-03,331.99,332.7,318.03,323.01,41779300
2021-12-06,323.95,327.45,319.23,326.19,30032600
2021-12-07,331.64,335.8,330.1,334.92,31021936
2021-12-08,335.31,335.5,330.8,334.97,24761000
2021-12-09,334.41,336.49,332.12,333.1,22214200
2021-12-10,334.98,343.0,334.79,342.54,38095700
2021-12-13,340.68,343.79,339.08,339.4,28899431
2021-12-14,333.22,334.64,324.11,328.34,44438700
2021-12-15,328.61,335.19,324.5,334.65,35381122
2021-12-16,335.71,336.76,323.02,324.9,35034831
2021-12-17,320.88,324.92,317.25,323.8,47983713
2021-12-20,320.05,322.8,317.57,319.91,28326532
2021-12-21,323.29,327.73,319.8,327.29,24740600
2021-12-22,328.3,333.61,325.75,333.2,24831500
2021-12-23,332.75,336.39,332.73,334.69,19617848
2021-12-27,335.46,342.48,335.43,342.45,19947029
2021-12-28,343.15,343.81,340.32,341.25,15661500
2021-12-29,341.3,344.3,339.68,341.95,15042000
2021-12-30,341.91,343.13,338.82,339.32,15994500
2021-12-31,338.51,339.36,335.85,336.32,18000800
2022-01-03,335.35,338.0,329.78,334.75,28918013
2022-01-04,334.83,335.2,326.12,329.01,32674306
2022-01-05,325.86,326.07,315.98,316.38,40054327
2022-01-06,313.15,318.7,311.49,313.88,39646148
2022-01-07,314.15,316.5,310.09,314.04,32720018
