date,open,high,low,close,volume
2020-07-07,239.41,247.65,238.82,240.86,27887800
2020-07-08,238.11,246.99,236.59,243.58,29791339
2020-07-09,245.0,246.53,239.24,244.5,22174900
2020-07-10,243.69,245.49,239.32,245.07,22982716
2020-07-13,247.01,250.15,238.42,239.0,24674900
2020-07-14,236.76,240.33,232.03,239.73,23378100
2020-07-15,241.55,244.82,238.05,240.28,19133600
2020-07-16,238.0,241.76,236.33,240.93,18880705
2020-07-17,241.0,244.16,237.86,242.03,18152413
2020-07-20,240.06,246.05,235.64,245.42,20872223
2020-07-21,246.22,246.91,240.08,241.75,19409687
2020-07-22,240.26,241.9,238.12,239.87,15427900
2020-07-23,239.63,242.42,231.75,232.6,21771802
2020-07-24,230.19,233.49,226.9,230.71,18325813
2020-07-27,231.46,234.95,230.83,233.5,13163100
2020-07-28,234.63,234.96,229.83,230.12,14170112
2020-07-29,231.14,233.7,230.31,233.29,13588317
2020-07-30,230.22,234.89,229.0,234.5,20615306
2020-07-31,255.82,255.85,249.0,253.67,53030037
2020-08-03,252.65,255.4,250.33,251.96,23134103
2020-08-04,251.56,252.8,247.43,249.83,17183533
2020-08-05,250.19,252.27,247.77,249.12,13088361
2020-08-06,249.04,266.6,248.67,265.28,45241611
2020-08-07,264.08,278.89,263.43,268.44,72766400
2020-08-10,268.04,273.86,259.69,263.0,30248826
2020-08-11,260.19,265.92,255.13,256.13,28238300
2020-08-12,258.97,263.9,258.11,259.89,21428329
2020-08-13,261.55,265.16,259.57,261.3,17374000
2020-08-14,262.31,262.65,258.68,261.24,14792708
2020-08-17,262.5,264.1,259.4,261.16,13351100
2020-08-18,260.95,265.15,259.26,262.34,18690400
2020-08-19,261.39,267.91,261.35,262.59,23291500
2020-08-20,261.5,269.63,261.46,269.01,20299700
2020-08-21,268.69,270.49,266.42,267.01,15538615
2020-08-24,271.07,277.25,268.77,271.39,23685603
2020-08-25,272.41,283.09,270.26,280.82,42127240
2020-08-26,284.0,304.67,284.0,303.91,69015200
2020-08-27,300.16,301.23,292.02,293.22,30301309
2020-08-28,295.0,297.23,290.98,293.66,17172415
2020-08-31,293.95,296.88,291.55,293.2,17345134
2020-09-01,294.71,301.49,292.71,295.44,17320872
2020-09-02,298.88,303.6,293.05,302.5,24341400
2020-09-03,295.99,297.6,283.63,291.12,32294100
2020-09-04,287.5,289.0,271.14,282.73,30333700
2020-09-08,271.28,279.3,269.42,271.16,24864000
2020-09-09,275.77,278.48,271.35,273.72,22918800
2020-09-10,275.51,279.16,267.03,268.09,24814700
2020-09-11,270.06,271.39,262.64,266.61,18913900
2020-09-14,270.95,276.64,265.7,266.15,24093830
2020-09-15,270.67,274.52,269.3,272.42,18478530
2020-09-16,267.29,272.44,261.79,263.52,29207594
2020-09-17,258.28,261.5,250.19,254.82,31281441
2020-09-18,258.4,259.2,250.05,252.53,28130800
2020-09-21,247.54,249.95,244.13,248.15,24709400
2020-09-22,253.31,255.32,248.22,254.75,30293103
2020-09-23,255.26,257.99,248.15,249.02,19641300
2020-09-24,246.5,252.24,245.62,249.53,20006800
2020-09-25,249.4,255.75,246.61,254.82,18351311
2020-09-28,259.4,259.6,254.82,256.82,18826300
2020-09-29,257.81,263.33,256.9,261.79,20215504
2020-09-30,261.98,266.08,260.1,261.9,20142546
2020-10-01,265.35,268.33,264.8,266.63,20009801
2020-10-02,261.21,265.15,259.18,259.94,16367600
2020-10-05,262.2,264.87,260.84,264.65,12822300
2020-10-06,261.78,265.69,258.24,258.66,18696917
2020-10-07,259.21,260.18,254.82,258.12,23133417
2020-10-08,259.75,264.62,259.15,263.76,16312800
2020-10-09,264.52,264.75,262.17,264.45,14107803
2020-10-12,270.2,280.18,267.87,275.75,31019300
2020-10-13,277.58,279.1,273.39,276.14,18063343
2020-10-14,277.62,278.75,271.5,271.82,15601154
2020-10-15,267.6,269.04,263.67,266.72,15416100
2020-10-16,267.38,271.37,265.3,265.93,16622702
2020-10-19,265.53,268.55,259.88,261.4,13587000
2020-10-20,263.06,269.7,262.88,267.56,18763246
2020-10-21,279.56,283.05,276.37,278.73,28998638
2020-10-22,279.87,282.45,275.04,278.12,16720026
2020-10-23,278.8,285.24,276.82,284.79,17535200
2020-10-26,283.16,285.23,274.26,277.11,21322925
2020-10-27,278.76,284.51,276.31,283.29,16287249
2020-10-28,278.79,278.79,267.26,267.67,23121808
2020-10-29,276.55,283.6,273.78,280.83,32368118
2020-10-30,274.5,276.7,259.1,263.11,47299002
2020-11-02,264.6,270.47,257.34,261.36,27165700
2020-11-03,263.16,270.05,260.88,265.3,17961900
2020-11-04,281.0,288.94,278.62,287.38,35364424
2020-11-05,291.9,297.38,288.95,294.68,23823633
2020-11-06,293.95,294.6,288.06,293.41,13891000
2020-11-09,289.87,292.58,278.53,278.77,25117700
2020-11-10,273.1,274.0,264.0,272.43,29067700
2020-11-11,273.47,278.4,272.48,276.48,14957000
2020-11-12,277.18,279.75,274.43,275.08,12914206
2020-11-13,277.72,277.76,273.1,276.95,10400101
2020-11-16,275.05,279.41,274.63,278.96,12970400
2020-11-17,277.68,277.68,273.29,275.0,15040300
2020-11-18,274.52,277.39,271.84,271.97,12152945
2020-11-19,271.02,273.47,269.19,272.94,12963700
2020-11-20,272.56,273.0,269.41,269.7,18122412
2020-11-23,270.89,270.95,264.53,268.43,20990800
2020-11-24,268.49,277.82,267.87,276.92,16930424
2020-11-25,278.14,280.18,272.65,275.59,12467009
2020-11-27,277.39,279.13,274.82,277.81,7808426
2020-11-30,276.03,277.7,271.01,276.97,16693336
2020-12-01,279.16,289.3,278.96,286.55,20777906
2020-12-02,285.36,291.78,280.83,287.52,17361624
2020-12-03,286.25,286.65,281.07,281.85,12921700
2020-12-04,280.3,283.46,279.3,279.7,10880300
2020-12-07,279.19,288.49,278.2,285.58,13007700
2020-12-08,286.01,286.43,281.55,283.4,10747700
2020-12-09,283.66,287.63,271.75,277.92,25189707
2020-12-10,275.54,278.73,271.86,277.12,20065100
2020-12-11,274.53,276.48,270.25,273.55,14391401
2020-12-14,273.37,277.22,271.56,274.19,16376900
2020-12-15,274.83,276.08,267.47,275.55,23979500
2020-12-16,274.76,277.86,272.51,275.67,15885000
2020-12-17,277.07,280.44,273.61,274.48,16377844
2020-12-18,275.77,278.0,271.14,276.4,26693249
2020-12-21,272.98,274.67,267.79,272.79,16553740
2020-12-22,271.5,271.5,264.63,267.09,17334999
2020-12-23,266.89,272.17,266.23,268.11,14329038
2020-12-24,268.88,270.4,266.2,267.4,6702033
2020-12-28,268.74,277.3,265.66,277.0,23299707
2020-12-29,276.95,280.51,276.28,276.78,16383000
2020-12-30,277.95,278.08,271.71,271.87,11803800
2020-12-31,272.0,277.09,269.81,273.16,12900408
2021-01-04,274.78,275.0,265.2,268.94,15106113
2021-01-05,268.29,272.4,268.21,270.97,9871600
2021-01-06,262.0,267.75,260.01,263.31,24354149
2021-01-07,265.9,271.61,264.78,268.74,15789800
2021-01-08,268.31,268.95,263.18,267.57,18528300
2021-01-11,260.48,263.47,255.9,256.84,30412300
2021-01-12,256.63,259.72,250.3,251.09,26449943
2021-01-13,251.55,253.95,249.2,251.64,19528938
2021-01-14,253.4,255.03,244.61,245.64,29739404
2021-01-15,247.9,253.86,247.16,251.36,24942930
2021-01-19,256.9,262.2,252.72,261.1,28028546
2021-01-20,268.93,270.32,263.6,267.48,25199919
2021-01-21,269.26,273.6,267.49,272.87,20838700
2021-01-22,272.01,278.47,272.0,274.5,21954042
2021-01-25,278.14,280.1,271.51,278.01,19087000
2021-01-26,278.14,285.39,277.81,282.05,19373636
2021-01-27,282.53,283.45,268.12,272.14,35346200
2021-01-28,277.18,286.79,264.7,265.0,37758844
2021-01-29,265.3,266.56,254.85,258.33,30389500
2021-02-01,259.52,264.17,254.91,262.01,22914300
2021-02-02,264.0,268.85,263.27,267.08,17320800
2021-02-03,265.62,269.2,263.84,266.65,14223400
2021-02-04,267.01,268.16,264.0,266.49,16060000
2021-02-05,266.8,269.17,265.67,268.1,12454400
2021-02-08,268.75,269.86,265.0,266.58,13755200
2021-02-09,266.44,273.39,265.75,269.45,14613400
2021-02-10,272.45,273.8,267.72,271.87,14687200
2021-02-11,271.89,273.58,268.49,270.39,12828600
2021-02-12,270.52,271.18,268.34,270.5,9097600
2021-02-16,270.8,276.6,270.05,273.97,15417243
2021-02-17,271.24,273.97,269.58,273.57,12763240
2021-02-18,269.57,271.95,266.03,269.39,15249134
2021-02-19,269.86,270.27,260.15,261.56,25622600
2021-02-22,257.95,263.07,257.53,260.33,17434900
2021-02-23,259.5,267.46,254.96,265.86,21924600
