date,open,high,low,close,volume
2020-07-07,121.367,121.718,121.183,121.202,331570
2020-07-08,121.202,121.88,121.136,121.514,320978
2020-07-09,121.514,121.968,120.903,120.971,353933
2020-07-10,120.971,121.066,120.271,120.776,326523
2020-07-13,120.793,121.965,120.788,121.704,299526
2020-07-14,121.704,122.319,121.469,122.243,363534
2020-07-15,122.243,122.499,121.824,122.02,333261
2020-07-16,122.02,122.502,121.815,122.076,339791
2020-07-17,122.076,122.576,121.93,122.282,272367
2020-07-20,122.282,122.975,122.159,122.777,370119
2020-07-21,122.777,123.175,122.469,123.109,378208
2020-07-22,123.109,124.292,123.021,123.977,428090
2020-07-23,123.977,124.242,123.709,123.916,350456
2020-07-24,123.916,123.969,122.842,123.674,457386
2020-07-27,123.439,123.904,123.221,123.823,424556
2020-07-28,123.823,123.989,123.014,123.112,426933
2020-07-29,123.112,123.789,123.017,123.71,377535
2020-07-30,123.71,124.197,123.337,124.065,442893
2020-07-31,124.065,125.209,123.841,124.694,588196
2020-08-03,124.506,125.058,123.993,124.618,444417
2020-08-04,124.618,125.0,124.266,124.767,384823
2020-08-05,124.767,125.516,124.635,125.269,405357
2020-08-06,125.269,125.589,124.66,125.347,498861
2020-08-07,125.347,125.394,124.46,124.812,481868
2020-08-10,124.812,124.883,124.34,124.357,292530
2020-08-11,124.357,125.501,124.286,125.011,446019
2020-08-12,125.011,126.217,124.951,125.981,409026
2020-08-13,125.981,126.755,125.881,126.312,369667
2020-08-14,126.312,126.469,125.74,126.206,286787
2020-08-17,126.206,126.464,125.671,125.824,288021
2020-08-18,125.824,126.094,125.343,125.759,379866
2020-08-19,125.759,126.06,125.375,125.598,415385
2020-08-20,125.598,125.782,125.083,125.48,401488
2020-08-21,125.48,125.559,124.44,124.782,359752
2020-08-24,124.714,125.344,124.606,124.916,264455
2020-08-25,124.916,126.029,124.858,125.904,322303
2020-08-26,125.904,126.141,125.262,125.379,300961
2020-08-27,125.379,126.092,125.135,125.975,544224
