date,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40
2010-07-09,0.4624999942187499,0.4874999939062499,0.37499999531250006,0.4499999943749999,12.379387755102014,0.4145298738074406,1.8163261599334337,0.6666665859259343,0.4374999945312501,-0.05555549104939417,0.39166666177083326,0.4874999939062499,0.24833749689578113,0.4499999943749999,19.044591836734654,0.9191615809656231,3.8842849215745057,0.8432027907524805,0.39527916172567706,1.7195332916326984,0.7124999910937498,1.5374999807812497,0.24833749689578113,0.4499999943749999,24.5115014577259,-1.032846600855145,21.027138565890088,0.1564290739359946,0.7452791573506771,-0.5181028023059774,13.397814763727641,3.3575980701483172,25.544347803137565,0.6,1.0,3.0,1.1703437473201577,8.899999110000088,0.0,0.470588235017301
2010-07-12,0.4999999937499999,0.4999999937499999,0.41249999484374983,0.4249999946874998,6.72193877551019,4.166665762084368e-09,1.408162977925924,0.14285712102041132,0.44583332776041645,-3.7857134841838014,0.4374999945312501,0.4999999937499999,0.29999999625,0.4249999946874998,14.229081632653031,0.41304343771266744,3.2448972969597336,0.6249999546875025,0.4083333282291667,0.1875000101562409,0.6196428493973215,1.1624999854687499,0.24833749689578113,0.4249999946874998,17.958469387755063,-0.7017639778805514,14.90469083577738,0.19325064834506103,0.6119458256840105,-0.5645965532388166,9.803192058441544,2.199941117472493,21.74418265449704,0.6,-1.0,3.0,1.2574849008284454,6.213299378670063,0.0,0.470588235017301
2010-07-13,0.4499999943749999,0.5499999931249999,0.41249999484374983,0.5124999935937499,8.183979591836717,0.9310343859393682,2.2244893419409526,0.7272726538843043,0.4916666605208333,2.772726927479375,0.4708333274479167,0.5499999931249999,0.37499999531250006,0.5124999935937499,9.095102040816307,0.7832860382440343,2.836734114952219,0.7857142217346983,0.4791666606770833,1.6904760209183785,0.5285714219642856,0.9249999884375,0.24833749689578113,0.5124999935937499,15.536297376093263,0.39485977445792564,11.027140606706,0.3903903238002637,0.5619458263090104,0.38124485356967647,7.44174474427903,2.308935885685468,15.287959726317885,0.6,1.0,3.0,2.565021139965615,4.513299548670047,0.0,0.470588235017301
2010-07-14,0.4999999937499999,0.6749999915625001,0.4749999940624999,0.649999991875,12.822040816326504,1.4999998416666838,3.244897296959738,0.8749999365625042,0.5999999925,4.249999553125037,0.48333332729166645,0.6749999915625001,0.41249999484374983,0.649999991875,9.24265306122447,1.6235953337899447,4.265305251978523,0.9047618526303882,0.5791666594270835,3.674602839701462,0.46964285127232136,0.6749999915625001,0.24833749689578113,0.649999991875,15.123206997084516,1.7272173138025435,6.945508786630862,0.9414056407952528,0.5244458267777603,2.613580715694746,7.4881787016063734,2.7785629811680614,14.874869351440042,0.6,1.0,3.0,3.454886849524695,1.8132998186700175,1.0,0.470588235017301
2010-07-15,0.6624999917187501,0.7874999901562499,0.58749999265625,0.6624999917187501,11.427959183673446,0.499999950000005,3.2448972969597336,0.3749999728125023,0.6791666581770835,0.49999997500000126,0.53749999328125,0.7874999901562499,0.41249999484374983,0.6624999917187501,10.811326530612222,1.3130079921706805,6.102039571012333,0.6666666377777793,0.6208333255729166,2.166666502777789,0.46964285127232136,0.7874999901562499,0.24833749689578113,0.6624999917187501,13.755670553935833,1.8122719825809368,8.782243105664671,0.7681589247330604,0.5661124929235938,2.288487942385218,7.46204396669393,2.616610669632581,13.507332921966723,0.6,1.0,3.0,0.866972387000262,1.8132998186700175,0.0,0.470588235017301
2010-07-16,0.7249999909374999,0.7749999903124999,0.6749999915625001,0.7249999909374999,8.003979591836718,0.499999950000005,1.6122445689296765,0.4999999325000071,0.7249999909374999,0.49999997500000126,0.6291666588020834,0.7874999901562499,0.4749999940624999,0.7249999909374999,10.751326530612223,1.0882351807808128,5.0816316159935475,0.7999999600000016,0.6624999917187497,2.0333331703333393,0.5214285649107142,0.7874999901562499,0.29999999625,0.7249999909374999,11.875029154518925,1.8380279742180976,7.938773890046142,0.8717948407232092,0.6041666591145831,2.587911904980287,6.345987512018931,2.3268351601539283,11.575029042518636,0.6,1.0,3.0,-0.24074070980795775,1.899999810000018,0.0,0.470588235017301
2010-07-19,0.7749999903124999,0.849999989375,0.7374999907812498,0.8249999896874999,7.591326530612229,0.7816900606923313,1.8163261599334382,0.7777776835802576,0.8041666566145833,2.7222218391975774,0.7208333243229167,0.849999989375,0.58749999265625,0.8249999896874999,9.007755102040797,1.105326761583593,4.265305251978519,0.9047618526303881,0.7541666572395833,2.4841267654384116,0.5821428498660712,0.849999989375,0.37499999531250006,0.8249999896874999,9.590087463556833,2.034988497691985,7.734692299042385,0.9473683866482004,0.6833333247916666,3.056390757350628,5.340996644763769,2.328325460465361,9.215087376093459,0.6,1.0,3.0,0.8671601368848957,2.199999780000021,0.0,0.470588235017301
2010-07-20,0.8249999896874999,0.8249999896874999,0.6749999915625001,0.6874999914062501,5.567244897959172,-0.2534246270313402,2.428570932944705,0.08333332555555638,0.7291666575520835,-4.083332747222283,0.7749999903124999,0.849999989375,0.6749999915625001,0.6874999914062501,7.054183673469373,0.00704225628843564,2.836734114952219,0.07142856561224543,0.7374999907812498,-1.999999721428594,0.633928563504464,0.849999989375,0.41249999484374983,0.6874999914062501,8.616924198250711,0.8278687671638558,7.122447526031118,0.6285714043265318,0.649999991875,1.1122448248542356,5.186450831597709,1.397053039886956,12.700256818470427,0.6,-1.0,3.0,0.24657531880199907,2.599999740000028,0.0,0.470588235017301
2010-07-21,0.7249999909374999,0.7374999907812498,0.6249999921875,0.6874999914062501,3.813775510204074,0.28260866896660775,1.8163261599334337,0.5555554882716139,0.6833333247916666,-1.1666664231481727,0.7749999903124999,0.849999989375,0.6249999921875,0.6874999914062501,5.657448979591825,0.00704225628843564,3.6530604789672476,0.2777777595679027,0.7208333243229169,-1.444444264197542,0.6660714202455358,0.849999989375,0.41249999484374983,0.6874999914062501,8.20147230320698,0.6286172995173466,7.122447526031118,0.6285714043265318,0.649999991875,0.7448979149416932,4.345692876369581,1.413378837181826,9.645916470945359,0.6,-1.0,3.0,-0.1484257669727553,2.1999997800000233,0.0,0.470588235017301
2010-07-22,0.7124999910937501,0.7749999903124999,0.6999999912500001,0.7499999906249999,2.9116326530612184,0.7189780286935965,1.2040813869221625,0.6666665488889074,0.7416666573958333,2.999999433333422,0.7541666572395833,0.8249999896874999,0.6249999921875,0.7499999906249999,4.097551020408154,0.47624698342342203,3.2448972969597336,0.6249999546875025,0.7333333241666667,0.39583332005208116,0.7035714197767856,0.849999989375,0.4749999940624999,0.7499999906249999,7.448279883381908,0.7725366083776214,6.102039571012333,0.7333333015555565,0.6916666580208335,1.119047542460322,3.4237367769979508,1.5315936185253074,7.0524464928053625,0.6,1.0,3.0,-0.28102186297308207,1.8999998100000202,0.0,0.470588235017301
