date,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40
2017-11-16,0.9452374881845312,1.1027749862153124,0.9211124884860938,0.9723999878449999,1.8017632653061186,0.6396358407804646,2.9455096029572228,0.2823229668098139,0.9987624875154688,1.2476087762895658,1.0138499873268751,1.1692124853848438,0.8693749891328125,0.9723999878449999,1.6376693877550985,0.2941753076596137,4.874896964306743,0.3436027670812202,1.0036624874542186,-0.19120769914817914,1.1110982003969867,1.586837480164531,0.8281999896475001,0.9723999878449999,2.0566877551020366,-0.15699553536436572,12.365507680508632,0.1900776012021946,1.1291458192190102,-0.41412702943549307,4.566859337140238,1.5005035575675112,12.77963458214778,0.6,-1.0,3.0,1.6900259722254898,4.17039958296004,0.0,0.4999999996875
2017-11-17,0.9750624878117187,0.9783249877709375,0.8691249891359376,0.8879499889006249,1.7160897959183639,0.05893800518851938,1.7624486199084424,0.17239008843290968,0.9117999886024999,-3.4886669514060453,0.9683374878957812,1.1027749862153124,0.8691249891359376,0.8879499889006249,1.683876190476187,0.09159696295765488,3.794284939941848,0.0805692223609439,0.9532833214172916,-1.2202545013532864,1.0347267727802014,1.3971874825351562,0.8281999896475001,0.8879499889006249,1.9795402332361476,-0.22135866760616782,9.269181781799634,0.10501109091124354,1.0377791536944272,-0.7898067004623829,3.936920593581659,0.9845709784547146,12.757848605627196,0.6,-1.0,3.0,0.7072685455890771,3.182699681730032,0.0,0.4999999996875
2017-11-18,0.8891999888850001,1.0959749863003123,0.8727874890901561,1.092912486338594,6.5443469387754964,1.5783001738030795,3.623468648271704,0.9862782883014131,1.020558320576354,5.06370713613375,0.9364999882937499,1.1027749862153124,0.8691249891359376,1.092912486338594,3.3540666666666596,1.3077070677336375,3.794284939941848,0.9577893678140724,1.021604153896615,3.8471534911885708,0.9856339162510045,1.1692124853848438,0.8281999896475001,1.092912486338594,2.678932361516029,1.0402735547250983,5.547141725073117,0.7762544999074633,1.0301083204569794,2.0729417605986047,3.1898249822543874,2.047150484424257,5.76809238118711,0.6,1.0,3.0,2.4723074731816737,1.3588998641100136,1.0,0.4999999996875
2017-11-19,1.09169998635375,1.1265374859182813,0.959749988003125,1.0172124872848436,7.75136734693876,0.14389012494806874,2.7026525096627516,0.34452518995014597,1.03449998706875,-1.7330058165944162,0.9853208210168226,1.1265374859182813,0.8691249891359376,1.0172124872848436,5.337268027210873,0.660637277434675,4.182244044439989,0.5752925414576531,1.0042916541130207,1.1194660755859942,0.9864321305267415,1.1692124853848438,0.8691249891359376,1.0172124872848436,3.3431597667638413,0.6549529091625453,4.878978596126817,0.49348104253130104,1.0185166539352082,1.012856297267641,3.6684662190051176,1.6207574653712824,9.484373068689447,0.6,1.0,3.0,-0.9085930362796976,0.8413999158600091,0.0,0.4999999996875
2017-11-20,1.0319874871001564,1.0758124865523437,0.9445124881935937,1.0305624871179686,2.6315306122448923,0.4929871123288376,2.1232648728030874,0.655369314146105,1.0169624872879686,0.4457349409905727,1.0042958207796355,1.1265374859182813,0.8727874890901561,1.0305624871179686,5.642414965986383,0.6310517809689955,4.1224481382758915,0.6217733621678146,1.0099624873754687,1.017569710160765,1.0042142731616073,1.1692124853848438,0.8691249891359376,1.0305624871179686,3.3651918367346867,0.6314639939117197,4.878978596126817,0.5379680648511653,1.0229666538795832,0.9390087952737781,2.6342565364044805,1.517659990255074,5.196679973029011,0.6,-1.0,3.0,1.065420277686668,0.8706999129300081,0.0,0.4999999996875
2017-11-21,1.0727124865910935,1.0745874865676561,0.9372999882837502,0.9675749879053125,1.0899571428571406,-0.007245936017441132,2.221019954893884,0.22052260359258768,0.9931541542522395,-3.329099002342358,1.0654666533483332,1.1265374859182813,0.9372999882837502,0.9675749879053125,3.824285034013598,0.026055451815235303,3.0691830471054984,0.15998413473782006,1.010470820702448,-2.086476154358429,0.9986589160881918,1.1265374859182813,0.8691249891359376,0.9675749879053125,3.2955472303206927,0.34447603932031384,4.182244044439989,0.3824600368464993,0.9877458209865104,-0.10377656086734709,2.9303377640950896,0.940424371260103,7.511342971668918,0.6,-1.0,3.0,0.35376349171447824,1.0453998954600108,0.0,0.4999999996875
2017-11-22,0.9881124876485937,1.0267124871660938,0.9477874881526562,1.0146874873164062,1.4442857142857113,0.6336694338718357,1.268163006497345,0.8476400219892276,0.9963958208783852,2.1835599662797076,1.030937487113281,1.0758124865523437,0.9372999882837502,1.0146874873164062,1.7219244897959147,0.4199876489076048,2.2410199508122517,0.5587040320716513,1.0092666540508333,-0.08658960070710091,0.9991446303678346,1.1265374859182813,0.8691249891359376,1.0146874873164062,3.282762973760926,0.5777474784088237,4.182244044439989,0.5654833835801785,1.003449987456875,0.8019055858570976,1.658812488874134,1.2110056378230947,4.268833602458755,0.6,-1.0,3.0,0.4940335430913759,1.4511998548800153,1.0,0.4999999996875
2017-11-23,1.013249987334375,1.0208499872393748,0.9219874884751562,0.9358749883015625,1.692375510204078,0.11567116926194525,1.5936731441483354,0.1404728598327396,0.9595708213386976,-3.413262705394167,1.0246916538580209,1.0745874865676561,0.9219874884751562,0.9358749883015625,1.4088727891156434,0.061332380518232775,2.471019903873488,0.09100588940728263,0.9774833211147916,-2.410113227835866,1.0088607016749551,1.1265374859182813,0.8691249891359376,0.9358749883015625,3.267136151603492,0.1366810498195807,4.182244044439989,0.25931140131542707,0.9771791544519273,-0.917679956864782,2.7763871637183644,0.7549065076837955,7.59550667387909,0.6,-1.0,3.0,0.5567331140734308,1.3384998661500132,0.0,0.4999999996875
2017-11-24,0.9619124879760939,1.2752249840596874,0.9444749881940624,1.1471374856607812,2.460285714285709,1.4441041355708273,5.379590738859031,0.6127361763089131,1.122279152638177,3.300075314963147,0.9877583209863543,1.2752249840596874,0.9219874884751562,1.1471374856607812,1.8656489795918327,1.3018034039401498,5.746733521074789,0.6373898291691208,1.1147833193985415,2.7559772290821076,1.0069821302698663,1.2752249840596874,0.8727874890901561,1.1471374856607812,3.373449854227398,1.19833871077679,6.549998663265578,0.6817207361018569,1.0983833196035417,2.24133056399535,3.0912391889504534,1.9573192255485252,5.937262427584041,0.6,1.0,3.0,0.36580391176775284,0.8935999106400095,0.0,0.4999999996875
2017-11-25,1.146212485672344,1.447049981911875,1.1174624860317186,1.342337483220781,2.599979591836729,1.4138189648702846,5.360611150895685,0.682292226563802,1.3022833170547918,3.475309760041542,1.0404583203276043,1.447049981911875,0.9219874884751562,1.342337483220781,2.250880272108839,1.979467232903366,8.552039071012434,0.8005713334876481,1.2371249845359376,3.374697219480094,1.0436982012394866,1.447049981911875,0.9219874884751562,1.342337483220781,2.809968804664717,1.961268800441068,8.552039071012434,0.8005713334876481,1.2371249845359376,3.3438448855840717,4.014613736667657,2.3442170802544937,7.869746765751165,0.6,1.0,3.0,1.7699287899222207,0.499999950000005,0.0,0.4999999996875
